id,name,category,language,primary,secondary,confidence,status
pydoe2,pyDOE2,Power Simulation & Design of Experiments,Python,pkg-power-simulation,,high,success
mlforecast,MLForecast,Time Series Forecasting,Python,pkg-gradient-boosting,,high,success
eiapy,eiapy,Data Access,Python,pkg-energy,,high,success
simpy,SimPy,Simulation & Computational Economics,Python,pkg-simulation,,high,success
evalue,EValue,Causal Inference (ML),R,pkg-causal-mediation,,high,success
mcd,MCD,Causal Discovery & Graphical Models,Python,pkg-causal-discovery,,high,success
eiapy,eiapy,Energy & Utilities Economics,Python,pkg-energy,,high,success
ltmle,ltmle,Causal Inference (ML),R,pkg-tmle,,high,success
bunching,bunching,Bunching Estimation,R,pkg-iv-rdd,,high,success
matching,matching,Matching & Market Design,Python,pkg-matching,,high,success
spacetrack,spacetrack,Space & Orbital Analysis,Python,pkg-geospatial,,high,success
ciw,Ciw,Simulation & Computational Economics,Python,pkg-simulation,,high,success
plm,plm,Panel Data & Fixed Effects,R,pkg-panel-data,,high,success
xgboost,xgboost,Machine Learning,R,pkg-gradient-boosting,,high,success
actuar,actuar,Insurance & Actuarial,R,pkg-insurance,,high,success
bnlearn,bnlearn,Causal Discovery & Graphical Models,R,pkg-causal-discovery,,high,success
causalweight,causalweight,Causal Inference (ML),R,pkg-causal-mediation,pkg-iv-rdd,high,success
gridstatus,gridstatus,Data Access,Python,pkg-energy,,high,success
cvxpy,cvxpy,Optimization,Python,pkg-convex-optimization,,high,success
arena-simulation,Arena Simulation,Simulation & Computational Economics,SIMAN,pkg-simulation,,high,success
pycinc,pycinc,"Program Evaluation Methods (DiD, SC, RDD)",Python,pkg-did-synth,pkg-iv-rdd,high,success
urca,urca,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
grf,grf,Causal Inference (ML),R,pkg-causal-forests,,high,success
scpi,scpi,Causal Inference (Synthetic Control),R,pkg-did-synth,,high,success
jax,JAX,Numerical Optimization & Computational Tools,Python,pkg-neural-networks,,high,success
dagitty,dagitty,Causal Discovery & Graphical Models,R,pkg-causal-discovery,,high,success
xgboost,XGBoost,Tree & Ensemble Methods for Prediction,Python,pkg-gradient-boosting,,high,success
nba_api,nba_api,Sports Analytics,Python,pkg-sports,,high,success
causal-llm-bfs,causal-llm-bfs,Causal Discovery & Graphical Models,Python,pkg-causal-discovery,,high,success
superlearner,SuperLearner,Causal Inference (ML),R,pkg-tmle,,high,success
lmtest,lmtest,Robust Standard Errors,R,pkg-hypothesis-testing,,high,success
xgboost,xgboost,Machine Learning,Python,pkg-gradient-boosting,,high,success
mapie,MAPIE,Conformal Prediction & Uncertainty,Python,pkg-conformal,,high,success
tmle,tmle,Causal Inference (ML),R,pkg-tmle,,high,success
langgraph,langgraph,Agentic AI,Python,pkg-nlp-llm,,high,success
webpower,WebPower,Power Analysis,R,pkg-power-simulation,,high,success
