id,name,category,primary,secondary,confidence,status
resource-doordash-elite-ensemble-learning,DoorDash: ELITE Ensemble Learning,Production Systems,forecasting-dl,,high,success
resource-airbnb-ml-powered-search-ranking,Airbnb: ML-Powered Search Ranking,Search & Ranking,search-ranking,,high,success
resource-understanding-cuped-by-matteo-courthoud,Understanding CUPED by Matteo Courthoud,Variance Reduction,variance-reduction,,high,success
resource-lyft-dynamic-pricing-to-sustain-marketplace-balanc,Lyft: Dynamic Pricing to Sustain Marketplace Balance,Pricing & Revenue,pricing-revenue,marketplace-design,high,success
resource-matteo-courthouds-iv-tutorial,Matteo Courthoud's IV Tutorial,IV & RDD,rdd-iv,,high,success
resource-causal-inference-for-the-brave-and-true,Causal Inference for the Brave and True,Causal Inference,did-synth-control,,high,success
resource-noahpinion-noah-smith,Noahpinion (Noah Smith),Frameworks & Strategy,tech-strategy,,high,success
resource-mit-ocw-transportation-systems-analysis,MIT OCW: Transportation Systems Analysis,Transportation Economics & Technology,transportation-econ,,high,success
resource-evan-miller-simple-sequential-ab-testing,Evan Miller: Simple Sequential A/B Testing,Sequential Testing,sequential-bandits,,high,success
resource-ben-evans-newsletter,Ben Evans Newsletter,Frameworks & Strategy,tech-strategy,,high,success
resource-eugene-yan-patterns-for-building-llm-based-systems,Eugene Yan: Patterns for Building LLM-based Systems,LLMs & Agents,llms-rag,,high,success
resource-mit-ocw-energy-economics-1444,MIT OCW: Energy Economics (14.44),Energy & Utilities Economics,energy-economics,,high,success
resource-time-series-forecasting-with-lag-llama,Time Series Forecasting with Lag-Llama,Deep Learning,forecasting-dl,,high,success
resource-afi-labs-ride-share-dispatch-algorithms,Afi Labs: Ride-Share Dispatch Algorithms,Routing & Logistics,vehicle-routing,transportation-econ,high,success
resource-matteo-courthoud-group-sequential-testing,Matteo Courthoud: Group Sequential Testing,Sequential Testing,sequential-bandits,,high,success
resource-eugene-yan-position-bias-in-search,Eugene Yan: Position Bias in Search,Search & Ranking,search-ranking,,high,success
resource-pymc-marketing-clv-quickstart,PyMC-Marketing CLV Quickstart,Bayesian Methods,clv-retention,,high,success
