id,name,category,primary,secondary,confidence,status
,Diginetica Fashion,Fashion & Apparel,fashion-apparel,,high,success
,Twitch Gamers Social Network,Entertainment & Media,entertainment-media,social-web,high,success
,Citi Bike System Data,Transportation Economics & Technology,transportation,,high,success
,Instacart Market Basket Analysis,MarTech & Customer Analytics,grocery-supermarkets,martech-analytics,high,success
,CoasterQueues,Entertainment & Media,entertainment-media,,high,success
,Criteo Terabyte,Advertising,advertising,,high,success
,OpenML,Dataset Aggregators,data-portals,,high,success
,Used Car Auction (PakWheels),Auctions & Marketplaces,auctions-marketplaces,,high,success
,Bank of Israel Call Center (Technion),Operations & Service,financial-services,,high,success
,MovieLens 25M,MarTech & Customer Analytics,entertainment-media,martech-analytics,high,success
,Alibaba Fashion Combo,Fashion & Apparel,fashion-apparel,,high,success
,Goodreads,Entertainment & Media,entertainment-media,,high,success
,HCUP (Healthcare Cost and Utilization Project),Insurance & Actuarial,insurance-actuarial,healthcare,high,success
,Google Dataset Search,Data Portals,data-portals,,high,success
,Brazil Medical,Grocery & Supermarkets,grocery-supermarkets,healthcare-economics,high,success
,Alibaba Cluster Trace v2018,Technology & Infrastructure,none,,low,success
,CMS Hospital Price Transparency,Healthcare,healthcare,healthcare-economics,high,success
,Google Dataset Search,Dataset Aggregators,data-portals,,high,success
,Alibaba Cloud Theme,E-Commerce,e-commerce-retail,,high,success
,Netflix Engagement Reports,Entertainment & Media,entertainment-media,,high,success
,Israeli Bank Call Center (Technion),Operations & Service,none,,low,success
,Common Crawl,Social & Web,social-web,,high,success
,Rakuten SIGIR,E-Commerce,e-commerce-retail,,high,success
,Fashion-MNIST,Fashion & Apparel,fashion-apparel,,high,success
,NeurIPS Competition Data,Data Portals,data-portals,,high,success
,IBM LBIDD Benchmark,Causal Inference,causal-inference,,high,success
,ASOS Experiments,Fashion & Apparel,fashion-apparel,,high,success
,Marketing Science Databases,Data Portals,martech-analytics,,high,success
,Rakuten Data Release,Data Portals,e-commerce-retail,advertising,high,success
,OPTN Organ Transplant,Healthcare,healthcare,,high,success
,JD.com Search,E-Commerce,e-commerce-retail,,high,success
,MicroLens,Entertainment & Media,entertainment-media,,high,success
,Data Mining Cup,Data Portals,data-portals,,high,success
,Medicare Provider Utilization,Healthcare,healthcare,,high,success
,Amazon Reviews (2023),E-Commerce,e-commerce-retail,,high,success
,RecSys Datasets Collection,Data Portals,data-portals,,high,success
,Pushshift Reddit Archive,Social & Web,social-web,,high,success
,Metacritic Video Games,Entertainment & Media,entertainment-media,,high,success
,DrivenData,Data Portals,data-portals,,high,success
,MIMIC-CXR,Healthcare,healthcare,causal-inference,high,success
,USASpending Federal Awards,Data Portals,data-portals,,high,success
,JD.com 2020 (MSOM-20),E-Commerce,e-commerce-retail,,high,success
,TouringPlans Disney World Data,Entertainment & Media,entertainment-media,,high,success
,DB1B Airline Origin and Destination Survey,Transportation Economics & Technology,transportation,travel-hospitality,high,success
,NOAA Storm Events Database,Insurance & Actuarial,insurance-actuarial,,high,success
,Yongfeng Dataset Collection,Data Portals,e-commerce-retail,,high,success
,OpenStreetMap Road Network,Transportation Economics & Technology,transportation,geospatial,high,success
,Census Business Dynamics Statistics,Data Portals,labor-markets,,high,success
,Retail Rocket,E-Commerce,e-commerce-retail,,high,success
,FEMA NFIP Claims & Policies,Insurance & Actuarial,insurance-actuarial,,high,success
,Synthetic Distributed System Logs,Technology & Infrastructure,none,,low,success
,Julian McAuley Datasets,Data Portals,data-portals,,high,success
,BestBuy,E-Commerce,e-commerce-retail,,high,success
,Innerwear Data,Fashion & Apparel,fashion-apparel,,high,success
,CMS Medicare & Medicaid Data,Insurance & Actuarial,insurance-actuarial,,high,success
,Indonesian Fashion,Fashion & Apparel,fashion-apparel,,high,success
,Real-Time Advertisers Auction,Advertising,advertising,,high,success
,Wayfair Search (WANDS),E-Commerce,e-commerce-retail,,high,success
,KDD Cup 2009 Customer Relationship Prediction,MarTech & Customer Analytics,martech-analytics,,high,success
,Amazon Fine Foods Reviews,MarTech & Customer Analytics,martech-analytics,grocery-supermarkets,high,success
,French Motor TPL (freMTPL2),Insurance & Actuarial,insurance-actuarial,,high,success
,Human Mortality Database,Insurance & Actuarial,insurance-actuarial,,high,success
,Instacart,Food & Delivery,grocery-supermarkets,,high,success
,French Motor Third Party Liability (MTPL),Insurance & Actuarial,insurance-actuarial,,high,success
,Ele.me Clickstream,Food & Delivery,logistics-supply-chain,,high,success
,ER Wait Time,Healthcare,healthcare,,high,success
,Retail Rocket Recommender System Dataset,MarTech & Customer Analytics,e-commerce-retail,martech-analytics,high,success
,Telco Customer Churn (IBM),MarTech & Customer Analytics,martech-analytics,,high,success
,Ukraine Procurement (ProZorro),Auctions & Marketplaces,auctions-marketplaces,,high,success
,Opportunity Atlas (Chetty),Labor Markets,labor-markets,,high,success
,CodaLab,Data Portals,data-portals,,high,success
,LMSYS-Chat-1M,AI & LLM,none,,medium,success
,DoD National Defense Budget Estimates (Green Book),Defense Economics,defense-economics,,high,success
,EU Open Data Portal,Dataset Aggregators,data-portals,,high,success
,Statcast / Baseball Savant,Sports & Athletics,sports-athletics,,high,success
,Natural Driving in Ohio,Transportation & Mobility,transportation,,high,success
,Open E-Commerce 1.0 (MIT),E-Commerce,e-commerce-retail,,high,success
,NBER Public Use Data Archive,Data Portals,data-portals,,high,success
,Art Auction (Artists for Lahaina),Auctions & Marketplaces,auctions-marketplaces,,high,success
,DiDi GAIA Open Data,Transportation & Mobility,transportation,,high,success
,Tesco Grocery 1.0,Grocery & Supermarkets,grocery-supermarkets,,high,success
,nflverse,Sports & Athletics,sports-athletics,,high,success
,AirBnb (Inside Airbnb),Real Estate,real-estate,travel-hospitality,high,success
,AEA Data and Code Repository,Dataset Aggregators,data-portals,,high,success
,Amazon Sessions (KDD Cup 23),E-Commerce,e-commerce-retail,,high,success
,Grab Driving GPS Traces,Transportation & Mobility,transportation,,high,success
,NYC Property Sales,Real Estate,real-estate,,high,success
,Baidu AI Datasets,Data Portals,data-portals,,high,success
,Telecom Italia Big Data Challenge,Telecommunications,geospatial,,high,success
,Chicago TNC Trips,Transportation & Mobility,transportation,,high,success
,UK Land Registry Price Paid,Real Estate,real-estate,,high,success
,ORBITAAL Bitcoin Transactions,Financial Services,financial-services,,high,success
,Brazilian Store Chain,Grocery & Supermarkets,grocery-supermarkets,,high,success
,PEP Experimental Research,Education,education,,high,success
,NBER-CES Manufacturing Database,Labor Markets,labor-markets,,high,success
,Dominick's Finer Foods (Kilts Center),MarTech & Customer Analytics,grocery-supermarkets,martech-analytics,high,success
,DataMOCCA US Bank Database,Operations & Service,none,,low,success
,ORBITAAL Bitcoin Graph,Financial Services,financial-services,,high,success
,HateDay,Content Moderation,social-web,,high,success
,MobileRec,App Stores,social-web,,high,success
,Yandex Datasets,Data Portals,data-portals,,high,success
,Office Supplies (DMDA 2023),Grocery & Supermarkets,grocery-supermarkets,,high,success
,bayesm R Package Datasets,MarTech & Customer Analytics,martech-analytics,,high,success
,SUPPORT Study,Healthcare,healthcare,,high,success
,Criteo AI Lab Datasets,Dataset Aggregators,advertising,,high,success
,Athey's Course Datasets,Education,causal-inference,,high,success
,Space-Track.org,Space,data-portals,,high,success
,NHL API,Sports & Athletics,sports-athletics,,high,success
,LIAR Fact-Checking,Content Moderation,none,,high,success
,Makridakis Competitions,Data Portals,data-portals,,high,success
,Yahoo A1 Search Advertising Dataset,Advertising,advertising,,high,success
,Home Depot Product Search,E-Commerce,e-commerce-retail,,high,success
,National Transit Database (NTD),Transportation Economics & Technology,transportation,,high,success
,FakeNewsNet,Content Moderation,social-web,,high,success
,Romania Tenders,Auctions & Marketplaces,auctions-marketplaces,,high,success
,Uber Movement,Transportation & Mobility,transportation,,high,success
,Zillow Research Data,Real Estate,real-estate,,high,success
,Zenodo,Dataset Aggregators,data-portals,,high,success
,NYC EMS Incident Dispatch Data,Healthcare,healthcare,,high,success
,LaDe (Cainiao),Logistics & Supply Chain,logistics-supply-chain,,high,success
,Multi-Region MMM eCommerce Dataset,Marketing Mix,martech-analytics,advertising,high,success
,MobilityData GTFS Catalog,Transportation Economics & Technology,transportation,,high,success
,KuaiSAR,Entertainment & Media,entertainment-media,,high,success
,Google Play Store Dataset,App Stores,none,,low,success
,ICPSR,Dataset Aggregators,data-portals,,high,success
,Creator Economy Reports,Creator Economy,social-web,,high,success
,DiQAD,AI & LLM,none,,medium,success
,Montgomery Liquor,Grocery & Supermarkets,grocery-supermarkets,,high,success
,All of Us Research Program,Healthcare Economics & Health-Tech,healthcare-economics,,high,success
,IMF PortWatch,Logistics & Supply Chain,logistics-supply-chain,,high,success
,Flight Delay Dataset 2018-2022,Transportation & Mobility,transportation,,high,success
,NATO Defence Expenditure,Defense Economics,defense-economics,,high,success
,Flight Delay and Cancellation 2019-2023,Transportation & Mobility,transportation,,high,success
,Social Capital Atlas,Labor Markets,labor-markets,,high,success
,TfL Unified API,Transportation & Mobility,transportation,,high,success
,NHANES (National Health and Nutrition Examination Survey),Healthcare Economics & Health-Tech,healthcare-economics,healthcare,high,success
,CEPII BACI Trade Data,Labor Markets,labor-markets,,high,success
,EPA CEMS (Continuous Emissions Monitoring),Energy,energy,,high,success
,FCC Spectrum Auctions,Auctions & Marketplaces,auctions-marketplaces,,high,success
,MTA Open Data,Transportation & Mobility,transportation,,high,success
,Hate Speech Data Catalogue,Content Moderation,social-web,,high,success
,BLP US Car Data,Automotive,transportation,,high,success
,IEEE-CIS Fraud Detection,Financial Services,financial-services,,high,success
,Ele.me Search,Food & Delivery,grocery-supermarkets,,high,success
,World Inequality Database,Dataset Aggregators,data-portals,,high,success
,Brazilian Drugs (ANVISA),Grocery & Supermarkets,grocery-supermarkets,,high,success
,dSprite Causal Benchmark,Causal Inference,causal-inference,,high,success
