id,name,category,primary,secondary,confidence,status
,Susan Athey: Machine Learning and Causal Inference (NBER Methods Lecture 2015),Causal Inference & ML,causal-inference,,high,success
,Xavier Amatriain: RecSys Talks,Recommendation Systems,experimentation,machine-learning,high,success
,Jean Tirole: Nobel Lecture 2014,Nobel Lectures,platform-economics,tech-economics,high,success
,Causal Bandits Podcast,Causal Inference & ML,causal-inference,,high,success
,"a16z Podcast: Pricing, Pricing, Pricing",Pricing & Market Design,pricing-behavioral,,high,success
,Amy Finkelstein: The Oregon Health Insurance Experiment,Healthcare Economics & Health-Tech,healthcare-economics,,high,success
,Brian Chesky: Blitzscaling Airbnb (Stanford),Platform Economics,platform-economics,strategy-digital,high,success
,Abhishek Thakur: ML YouTube Channel,Machine Learning,machine-learning,,high,success
,Jonathan Hall: BNN Bloomberg Interview,Gig Economy,platform-economics,labor-gig-economy,high,success
,Daniel McFadden Nobel Prize Lecture: Economic Choices,Transportation Economics & Technology,transportation,monographs-lectures,high,success
,NBER Economics of AI: Toronto 2017,AI & Labor,ai-labor,,high,success
,Casual Inference Podcast,Causal Inference & ML,causal-inference,experimentation,high,success
,Tallys Yunes: Dr. Y YouTube Channel,Operations Research,operations-research,,high,success
,Paul Milgrom: Nobel Lecture 2020,Nobel Lectures,market-design-auctions,monographs-lectures,high,success
,Macro Musings,Strategy & Digital Platforms,strategy-digital,,high,success
,Subject to Podcast,Operations Research,operations-research,,high,success
,Mobile Dev Memo Podcast,Marketing Science,marketing-martech,,high,success
,Daniel Zhao: Soft Landing Optimism (Yahoo Finance),Labor Economics,labor-gig-economy,,high,success
,Inside Data: Data Team Economics,Applied Economics,experimentation,,high,success
,The Mixtape: Chris Nosko Interview,Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,"Daniel Zhao: Low Hire, Some Fire Job Market (CNBC)",Labor Economics,ai-labor,,high,success
,Geometric Deep Learning,Monographs,monographs-lectures,machine-learning,high,success
,Paul Joskow: Lessons from Electricity Market Liberalization,Energy Economics,energy-economics,,high,success
,David Autor: AI and the Future of Work,AI & Labor,ai-labor,,high,success
,Michael Schwarz: The Mixtape Interview,Tech Economics,market-design-auctions,,high,success
,Uber Gender Pay Gap Study,AI & Labor,ai-labor,labor-gig-economy,high,success
,Jean Tirole: Nobel Prize Lecture - Market Power and Regulation,Platform Economics,platform-economics,monographs-lectures,high,success
,Causal Inference and ML (Imbens),Monographs,causal-inference,monographs-lectures,high,success
,Susan Athey: applied researchers & Causation,Causal Inference & ML,causal-inference,,high,success
,Capitalisn't Podcast,Antitrust & Competition,tech-economics,strategy-digital,high,success
